Tanggal	RR	kode
01-01-2018	101.9	SSK
02-01-2018	8888	SSK
03-01-2018	8888	SSK
04-01-2018	2.9	SSK
05-01-2018	8.5	SSK
06-01-2018	0	SSK
07-01-2018		SSK
08-01-2018	25.3	SSK
09-01-2018	0	SSK
10-01-2018	0	SSK
11-01-2018	2.3	SSK
12-01-2018	1	SSK
13-01-2018	0	SSK
14-01-2018	0	SSK
15-01-2018	8888	SSK
16-01-2018	0	SSK
17-01-2018	0	SSK
18-01-2018	0	SSK
19-01-2018	8888	SSK
20-01-2018	0	SSK
21-01-2018	11.6	SSK
22-01-2018	8888	SSK
23-01-2018	0	SSK
24-01-2018		SSK
25-01-2018	0	SSK
26-01-2018	9	SSK
27-01-2018	0	SSK
28-01-2018	3	SSK
29-01-2018	4.1	SSK
30-01-2018		SSK
31-01-2018	0	SSK
01-02-2018	0	SSK
02-02-2018	7.8	SSK
03-02-2018		SSK
04-02-2018	54	SSK
05-02-2018	0.1	SSK
06-02-2018	0	SSK
07-02-2018	1.5	SSK
08-02-2018	8888	SSK
09-02-2018	0	SSK
10-02-2018	0.2	SSK
11-02-2018	0.5	SSK
12-02-2018	0	SSK
13-02-2018		SSK
14-02-2018	0	SSK
15-02-2018	0	SSK
16-02-2018		SSK
17-02-2018	2.5	SSK
18-02-2018	15.6	SSK
19-02-2018	0	SSK
20-02-2018	13	SSK
21-02-2018	15.2	SSK
22-02-2018	0.1	SSK
23-02-2018		SSK
24-02-2018	8	SSK
25-02-2018		SSK
26-02-2018		SSK
27-02-2018	0	SSK
28-02-2018	0	SSK
01-03-2018	8888	SSK
02-03-2018	0	SSK
03-03-2018	4	SSK
04-03-2018	25.9	SSK
05-03-2018	0	SSK
06-03-2018	77.3	SSK
07-03-2018	50.5	SSK
08-03-2018		SSK
09-03-2018	8888	SSK
10-03-2018		SSK
11-03-2018	2.8	SSK
12-03-2018	13.2	SSK
13-03-2018	0.2	SSK
14-03-2018		SSK
15-03-2018	0	SSK
16-03-2018	0	SSK
17-03-2018	0	SSK
18-03-2018	0	SSK
19-03-2018	0.6	SSK
20-03-2018	14	SSK
21-03-2018	44	SSK
22-03-2018	0.5	SSK
23-03-2018	1.2	SSK
